ID|COD_SKU_SAP|UND_ORDEN|FECHA
40|389|67|1/03/2022
40|389|69|1/04/2022
40|389|74|1/05/2022
40|389|83|1/06/2022
40|389|88|1/07/2022
40|389|119|1/08/2022
40|389|90|1/09/2022
40|389|94|1/10/2022
40|389|126|1/11/2022
40|389|111|1/12/2022
40|389|141|1/01/2023
40|389|132|1/02/2023
40|389|130|1/03/2023
40|389|146|1/04/2023
40|389|136|1/05/2023
40|389|132|1/06/2023
40|389|138|1/07/2023
44|464|1|1/01/2018
44|464|2|1/02/2018
44|464|2|1/03/2018
44|464|11|1/04/2018
44|464|6|1/05/2018
44|464|20|1/06/2018
44|464|3|1/07/2018
44|464|11|1/08/2018
44|464|16|1/09/2018
44|464|29|1/10/2018
44|464|31|1/11/2018
44|464|30|1/12/2018
44|464|37|1/01/2019
44|464|31|1/02/2019
44|464|36|1/03/2019
44|464|29|1/04/2019
44|464|50|1/05/2019
44|464|60|1/06/2019
44|464|66|1/07/2019
44|464|78|1/08/2019
44|464|80|1/09/2019
44|464|92|1/10/2019
44|464|83|1/11/2019
44|464|89|1/12/2019
44|464|79|1/01/2020
44|464|49|1/02/2020
44|464|83|1/03/2020
44|464|122|1/04/2020
44|464|160|1/05/2020
44|464|163|1/06/2020
44|464|368|1/07/2020
44|464|174|1/08/2020
44|464|100|1/09/2020
44|464|66|1/10/2020
44|464|49|1/11/2020
44|464|59|1/12/2020
44|464|112|1/01/2021
44|464|163|1/02/2021
44|464|175|1/03/2021
44|464|326|1/04/2021
44|464|175|1/05/2021
44|464|88|1/06/2021
44|464|69|1/07/2021
44|464|66|1/08/2021
44|464|61|1/09/2021
44|464|74|1/10/2021
44|464|76|1/11/2021
44|464|50|1/12/2021
44|464|164|1/01/2022
44|464|9|1/02/2022
44|464|89|1/03/2022
44|464|87|1/04/2022
44|464|139|1/05/2022
44|464|145|1/06/2022
44|464|246|1/07/2022
44|464|235|1/08/2022
44|464|121|1/09/2022
44|464|100|1/10/2022
44|464|170|1/11/2022
44|464|149|1/12/2022
44|464|114|1/01/2023
44|464|117|1/02/2023
44|464|166|1/03/2023
44|464|169|1/04/2023
44|464|169|1/05/2023
44|464|165|1/06/2023
44|464|163|1/07/2023
45|475|901|1/01/2018
45|475|880|1/02/2018
45|475|936|1/03/2018
45|475|868|1/04/2018
45|475|858|1/05/2018
45|475|834|1/06/2018
45|475|938|1/07/2018
45|475|897|1/08/2018
45|475|863|1/09/2018
45|475|953|1/10/2018
45|475|894|1/11/2018
45|475|998|1/12/2018
45|475|1145|1/01/2019
45|475|1143|1/02/2019
45|475|1067|1/03/2019
45|475|946|1/04/2019
45|475|1000|1/05/2019
45|475|892|1/06/2019
45|475|931|1/07/2019
45|475|988|1/08/2019
45|475|998|1/09/2019
45|475|1102|1/10/2019
45|475|1066|1/11/2019
45|475|1238|1/12/2019
45|475|1337|1/01/2020
45|475|1366|1/02/2020
45|475|1242|1/03/2020
45|475|1232|1/04/2020
45|475|1140|1/05/2020
45|475|1195|1/06/2020
45|475|1087|1/07/2020
45|475|985|1/08/2020
45|475|929|1/09/2020
45|475|982|1/10/2020
45|475|919|1/11/2020
45|475|1095|1/12/2020
45|475|1274|1/01/2021
45|475|1125|1/02/2021
45|475|1341|1/03/2021
45|475|1246|1/04/2021
45|475|1288|1/05/2021
45|475|1169|1/06/2021
45|475|1267|1/07/2021
45|475|1382|1/08/2021
45|475|1229|1/09/2021
45|475|1374|1/10/2021
45|475|1295|1/11/2021
45|475|1561|1/12/2021
45|475|1733|1/01/2022
45|475|1309|1/02/2022
45|475|1509|1/03/2022
45|475|1298|1/04/2022
45|475|1356|1/05/2022
45|475|1241|1/06/2022
45|475|1265|1/07/2022
45|475|1482|1/08/2022
45|475|1168|1/09/2022
45|475|1322|1/10/2022
45|475|1350|1/11/2022
45|475|1593|1/12/2022
45|475|1633|1/01/2023
45|475|1611|1/02/2023
45|475|1733|1/03/2023
45|475|1805|1/04/2023
45|475|1650|1/05/2023
45|475|1451|1/06/2023
45|475|1589|1/07/2023
46|485|312|1/01/2018
46|485|271|1/02/2018
46|485|248|1/03/2018
46|485|220|1/04/2018
46|485|251|1/05/2018
46|485|263|1/06/2018
46|485|272|1/07/2018
46|485|240|1/08/2018
46|485|227|1/09/2018
46|485|276|1/10/2018
46|485|251|1/11/2018
46|485|274|1/12/2018
46|485|324|1/01/2019
46|485|369|1/02/2019
46|485|315|1/03/2019
46|485|272|1/04/2019
46|485|298|1/05/2019
46|485|274|1/06/2019
46|485|303|1/07/2019
46|485|290|1/08/2019
46|485|314|1/09/2019
46|485|219|1/10/2019
46|485|103|1/11/2019
46|485|264|1/12/2019
46|485|324|1/01/2020
46|485|365|1/02/2020
46|485|324|1/03/2020
46|485|333|1/04/2020
46|485|332|1/05/2020
46|485|296|1/06/2020
46|485|254|1/07/2020
46|485|237|1/08/2020
46|485|254|1/09/2020
46|485|222|1/10/2020
46|485|221|1/11/2020
46|485|248|1/12/2020
46|485|345|1/01/2021
46|485|296|1/02/2021
46|485|370|1/03/2021
46|485|325|1/04/2021
46|485|291|1/05/2021
46|485|318|1/06/2021
46|485|321|1/07/2021
46|485|460|1/08/2021
46|485|202|1/09/2021
46|485|430|1/10/2021
46|485|437|1/11/2021
46|485|124|1/12/2021
46|485|41|1/01/2022
46|485|8|1/02/2022
46|485|321|1/03/2022
46|485|385|1/04/2022
46|485|405|1/05/2022
46|485|415|1/06/2022
46|485|431|1/07/2022
46|485|465|1/08/2022
46|485|368|1/09/2022
46|485|431|1/10/2022
46|485|457|1/11/2022
46|485|488|1/12/2022
46|485|481|1/01/2023
46|485|574|1/02/2023
46|485|584|1/03/2023
46|485|602|1/04/2023
46|485|610|1/05/2023
46|485|581|1/06/2023
46|485|602|1/07/2023
49|543|3|1/01/2018
49|543|4|1/02/2018
49|543|6|1/03/2018
49|543|5|1/04/2018
49|543|2|1/05/2018
49|543|3|1/06/2018
49|543|5|1/07/2018
49|543|2|1/08/2018
49|543|5|1/09/2018
49|543|4|1/10/2018
49|543|3|1/11/2018
49|543|4|1/12/2018
49|543|5|1/01/2019
49|543|3|1/02/2019
49|543|4|1/03/2019
49|543|2|1/04/2019
49|543|2|1/05/2019
49|543|3|1/06/2019
49|543|2|1/07/2019
49|543|2|1/08/2019
49|543|3|1/09/2019
49|543|4|1/10/2019
49|543|6|1/11/2019
49|543|5|1/12/2019
